metric,algorithm,value,Constraints,percentage,version,pct,diff,dataset
Accuracy,LR,0.8303201506591337,No constraints,0.1,0,0.0,0.0,Law School
Accuracy,RF,0.871939736346516,No constraints,0.1,0,4.773218142548597,0.04161958568738233,Law School
Accuracy,SREW,0.8306967984934087,True protected attributes,0.1,0,0.04534119247336932,0.00037664783427504567,Law School
Accuracy,ADDEB,0.8295668549905838,True protected attributes,0.1,0,-0.0908059023836616,-0.0007532956685498693,Law School
Accuracy,LFR,0.19303201506591336,True protected attributes,0.1,0,-330.1463414634147,-0.6372881355932203,Law School
Accuracy,CALEQ,0.8297551789077213,True protected attributes,0.1,0,-0.06808896958692134,-0.0005649717514123465,Law School
Accuracy,ROC,0.8242937853107345,True protected attributes,0.1,0,-0.7310943568654249,-0.006026365348399176,Law School
Accuracy,EGR,0.831638418079096,True protected attributes,0.1,0,0.15851449275362528,0.0013182674199623268,Law School
Accuracy,GSR,0.8301318267419963,True protected attributes,0.1,0,-0.022686025408336086,-0.0001883239171374118,Law School
Accuracy,SOFT,0.8069679849340866,Noisy protected attributes,0.1,0,-2.893815635939312,-0.023352165725047058,Law School
Accuracy,PRIV,0.8222222222222222,Noisy protected attributes,0.1,0,-0.9848831882730114,-0.008097928436911483,Law School
Accuracy,MDRO,0.8088512241054614,Noisy protected attributes,0.1,0,-2.654249126891739,-0.021468926553672274,Law School
Accuracy,ARL,0.8369114877589454,No protected attributes,0.1,0,0.7875787578757953,0.006591337099811745,Law School
Accuracy,DRO,0.19303201506591336,No protected attributes,0.1,0,-330.1463414634147,-0.6372881355932203,Law School
Equal Odds Difference,LR,-0.01122035892736932,No constraints,0.1,0,0.0,0.0,Law School
Equal Odds Difference,RF,-0.024466982015550087,No constraints,0.1,0,54.14081344303856,-0.013246623088180767,Law School
Equal Odds Difference,SREW,-0.005307097884887063,True protected attributes,0.1,0,-111.42174444005177,0.005913261042482257,Law School
Equal Odds Difference,ADDEB,0.038460346583588184,True protected attributes,0.1,0,129.1738372741479,0.049680705510957504,Law School
Equal Odds Difference,LFR,0.0,True protected attributes,0.1,0,inf,0.01122035892736932,Law School
Equal Odds Difference,CALEQ,-0.007906219062175382,True protected attributes,0.1,0,-41.918138608748066,0.003314139865193938,Law School
Equal Odds Difference,ROC,0.05635758453215531,True protected attributes,0.1,0,119.9092260970969,0.06757794345952463,Law School
Equal Odds Difference,EGR,-0.014675328885099592,True protected attributes,0.1,0,23.54270888769131,-0.0034549699577302723,Law School
Equal Odds Difference,GSR,-0.01461132103842619,True protected attributes,0.1,0,23.207772261926262,-0.0033909621110568694,Law School
Equal Odds Difference,SOFT,0.0,Noisy protected attributes,0.1,0,inf,0.01122035892736932,Law School
Equal Odds Difference,PRIV,-0.007507069842225239,Noisy protected attributes,0.1,0,-49.463894211531546,0.003713289085144081,Law School
Equal Odds Difference,MDRO,-0.013362920722211664,Noisy protected attributes,0.1,0,16.033633959086558,-0.002142561794842344,Law School
Equal Odds Difference,ARL,-0.019095952737921237,No protected attributes,0.1,0,41.24221461290255,-0.007875593810551917,Law School
Equal Odds Difference,DRO,0.0,No protected attributes,0.1,0,inf,0.01122035892736932,Law School
Accuracy,LR,0.8158192090395481,No constraints,0.1,1,0.0,0.0,Law School
Accuracy,RF,0.8651600753295668,No constraints,0.1,1,5.703090988245529,0.04934086629001877,Law School
Accuracy,SREW,0.8163841807909604,True protected attributes,0.1,1,0.0692041522491249,0.0005649717514123465,Law School
Accuracy,ADDEB,0.8167608286252354,True protected attributes,0.1,1,0.11528706479131401,0.0009416195856872811,Law School
Accuracy,LFR,0.20602636534839924,True protected attributes,0.1,1,-295.97806215722125,-0.6097928436911488,Law School
Accuracy,CALEQ,0.8146892655367232,True protected attributes,0.1,1,-0.1386962552011095,-0.001129943502824915,Law School
Accuracy,ROC,0.7962335216572505,True protected attributes,0.1,1,-2.4597918637653704,-0.0195856873822976,Law School
Accuracy,EGR,0.8109227871939736,True protected attributes,0.1,1,-0.6038086391082276,-0.0048964218455744835,Law School
Accuracy,GSR,0.8101694915254237,True protected attributes,0.1,1,-0.6973500697350143,-0.005649717514124353,Law School
Accuracy,SOFT,0.7939736346516008,Noisy protected attributes,0.1,1,-2.75142314990513,-0.02184557438794732,Law School
Accuracy,PRIV,0.8050847457627118,Noisy protected attributes,0.1,1,-1.333333333333342,-0.010734463276836248,Law School
Accuracy,MDRO,0.7934086629001883,Noisy protected attributes,0.1,1,-2.824590553050088,-0.022410546139359777,Law School
Accuracy,ARL,0.8250470809792844,No protected attributes,0.1,1,1.1184661036293009,0.009227871939736287,Law School
Accuracy,DRO,0.8148775894538607,No protected attributes,0.1,1,-0.11555350127108177,-0.0009416195856873921,Law School
Equal Odds Difference,LR,0.0065543189178792205,No constraints,0.1,1,0.0,0.0,Law School
Equal Odds Difference,RF,0.005142267123619038,No constraints,0.1,1,-27.459713008187837,-0.001412051794260183,Law School
Equal Odds Difference,SREW,0.01055153694578212,True protected attributes,0.1,1,37.88280369430683,0.003997218027902899,Law School
Equal Odds Difference,ADDEB,0.014988970093745543,True protected attributes,0.1,1,56.272386448925225,0.008434651175866323,Law School
Equal Odds Difference,LFR,0.0,True protected attributes,0.1,1,-inf,-0.0065543189178792205,Law School
Equal Odds Difference,CALEQ,-0.018019564211607858,True protected attributes,0.1,1,136.37334866099067,-0.02457388312948708,Law School
Equal Odds Difference,ROC,0.09431602960227106,True protected attributes,0.1,1,93.05068401891103,0.08776171068439184,Law School
