metric,algorithm,value,Constraints,percentage,version,pct,diff,dataset
Equal Odds Difference,ADDEB,8.881457528264747e-05,True protected attributes,0.2,1,47405.053933611336,0.04210259731364688,Public Coverage
Equal Odds Difference,LFR,-0.04854455300147291,True protected attributes,0.2,1,13.45314738588802,-0.006530770263108679,Public Coverage
Equal Odds Difference,CALEQ,-0.06746112779662752,True protected attributes,0.2,1,37.72149368000255,-0.025447345058263293,Public Coverage
Equal Odds Difference,ROC,0.10103062134393237,True protected attributes,0.2,1,141.58519682398,0.1430444040822966,Public Coverage
Equal Odds Difference,EGR,0.0023573877655465314,True protected attributes,0.2,1,1882.2177306763044,0.04437117050391076,Public Coverage
Equal Odds Difference,GSR,-0.0271395874497303,True protected attributes,0.2,1,-54.80626894636802,0.014874195288633929,Public Coverage
Equal Odds Difference,SOFT,0.026043794278400784,Noisy protected attributes,0.2,1,261.3197458452052,0.06805757701676501,Public Coverage
Equal Odds Difference,PRIV,-0.010323044367624323,Noisy protected attributes,0.2,1,-306.9902370092496,0.03169073837073991,Public Coverage
Equal Odds Difference,MDRO,-0.001700468777102817,Noisy protected attributes,0.2,1,-2370.7176811529257,0.040313313961261414,Public Coverage
Equal Odds Difference,ARL,0.013232130241873863,No protected attributes,0.2,1,417.51337063936325,0.05524591298023809,Public Coverage
Equal Odds Difference,DRO,0.0001174864113722843,No protected attributes,0.2,1,35860.546473100905,0.042131269149736514,Public Coverage
Accuracy,LR,0.6821839702645159,No constraints,0.2,2,0.0,0.0,Public Coverage
Accuracy,RF,0.7028616794774638,No constraints,0.2,2,2.9419315089592724,0.02067770921294787,Public Coverage
Accuracy,SREW,0.6844574356753635,True protected attributes,0.2,2,0.33215584963356415,0.0022734654108476082,Public Coverage
Accuracy,ADDEB,0.6583306268268918,True protected attributes,0.2,2,-3.623307570026868,-0.02385334343762413,Public Coverage
Accuracy,LFR,0.6273321063837465,True protected attributes,0.2,2,-8.743672342383825,-0.05485186388076946,Public Coverage
Accuracy,CALEQ,0.678286600988777,True protected attributes,0.2,2,-0.5745903383698625,-0.0038973692757389156,Public Coverage
Accuracy,ROC,0.6729818483634658,True protected attributes,0.2,2,-1.3673655423883435,-0.009202121901050186,Public Coverage
Accuracy,EGR,0.6894734942802497,True protected attributes,0.2,2,1.0572594996336226,0.007289524015733795,Public Coverage
Accuracy,GSR,0.6810291941828155,True protected attributes,0.2,2,-0.16956337431115465,-0.0011547760817004482,Public Coverage
Accuracy,SOFT,0.625347334993324,Noisy protected attributes,0.2,2,-9.088810664204527,-0.05683663527119198,Public Coverage
Accuracy,PRIV,0.6831222258308974,Noisy protected attributes,0.2,2,0.1373481246698227,0.0009382555663814962,Public Coverage
Accuracy,MDRO,0.6280177546822562,Noisy protected attributes,0.2,2,-8.624949721312426,-0.05416621558225976,Public Coverage
Accuracy,ARL,0.702139944426401,No protected attributes,0.2,2,2.8421647736033173,0.019955974161885104,Public Coverage
Accuracy,DRO,0.37389484320306016,No protected attributes,0.2,2,-82.45343113599075,-0.3082891270614558,Public Coverage
Equal Odds Difference,LR,-0.040308982500666043,No constraints,0.2,2,0.0,0.0,Public Coverage
Equal Odds Difference,RF,-0.018185686721713862,No constraints,0.2,2,-121.65224287371443,0.02212329577895218,Public Coverage
Equal Odds Difference,SREW,-0.021256930949440714,True protected attributes,0.2,2,-89.62748007480639,0.01905205155122533,Public Coverage
Equal Odds Difference,ADDEB,0.0037694507357597523,True protected attributes,0.2,2,1169.3595785260093,0.044078433236425796,Public Coverage
Equal Odds Difference,LFR,0.0,True protected attributes,0.2,2,inf,0.040308982500666043,Public Coverage
